elo,name,date,year,color,id,Master_id
1478.327782969035,Man Utd,2019-11-02T12:30:00Z,2019-20,#DA291C,12.0,16.0
1525.9600163076323,Arsenal,2019-11-02T15:00:00Z,2019-20,#EF0107,1.0,0.0
1503.5145475931608,Wolves,2019-11-02T15:00:00Z,2019-20,#FDB913,20.0,26.0
1463.646747219917,Aston Villa,2019-11-02T15:00:00Z,2019-20,#670E36,2.0,1.0
1677.2917122056338,Liverpool,2019-11-02T15:00:00Z,2019-20,#C8102E,10.0,13.0
1497.4821160813963,Brighton,2019-11-02T15:00:00Z,2019-20,#0057B8,4.0,4.0
1378.7393738681637,Norwich,2019-11-02T15:00:00Z,2019-20,#FFF200,14.0,18.0
1601.857188495638,Man City,2019-11-02T15:00:00Z,2019-20,#6CABDD,11.0,15.0
1414.6977449539927,Southampton,2019-11-02T15:00:00Z,2019-20,#D71920,16.0,21.0
1528.9361816001824,Sheffield Utd,2019-11-02T15:00:00Z,2019-20,#EE2737,15.0,20.0
1455.1216097420577,Burnley,2019-11-02T15:00:00Z,2019-20,#6C1D45,5.0,5.0
1459.8981408884144,West Ham,2019-11-02T15:00:00Z,2019-20,#7A263A,19.0,25.0
1482.3767106840887,Newcastle,2019-11-02T15:00:00Z,2019-20,#241F20,13.0,17.0
1403.0898637262283,Watford,2019-11-02T17:30:00Z,2019-20,#FFEE00,18.0,23.0
1602.4054210380425,Chelsea,2019-11-02T17:30:00Z,2019-20,#034694,6.0,6.0
1500.3662038898801,Crystal Palace,2019-11-03T14:00:00Z,2019-20,#1B458F,7.0,7.0
1604.784514488367,Leicester,2019-11-03T14:00:00Z,2019-20,#003090,9.0,12.0
1433.865725855298,Everton,2019-11-03T16:30:00Z,2019-20,#003399,8.0,8.0
1469.2398301839746,Spurs,2019-11-03T16:30:00Z,2019-20,#132257,17.0,22.0
1355.4886691627826,Norwich,2019-11-08T20:00:00Z,2019-20,#FFF200,14.0,18.0
1426.3405684316094,Watford,2019-11-08T20:00:00Z,2019-20,#FFEE00,18.0,23.0
1620.267175674108,Chelsea,2019-11-09T12:30:00Z,2019-20,#034694,6.0,6.0
1482.5044492538145,Crystal Palace,2019-11-09T12:30:00Z,2019-20,#1B458F,7.0,7.0
1480.4652871340975,Burnley,2019-11-09T15:00:00Z,2019-20,#6C1D45,5.0,5.0
1434.5544634963746,West Ham,2019-11-09T15:00:00Z,2019-20,#7A263A,19.0,25.0
1509.959444049139,Newcastle,2019-11-09T15:00:00Z,2019-20,#241F20,13.0,17.0
1490.815834843847,Bournemouth,2019-11-09T15:00:00Z,2019-20,#DA291C,3.0,2.0
1391.0755944064983,Southampton,2019-11-09T15:00:00Z,2019-20,#D71920,16.0,21.0
1457.4878764027924,Everton,2019-11-09T15:00:00Z,2019-20,#003399,8.0,8.0
1473.4935505555288,Spurs,2019-11-09T15:00:00Z,2019-20,#132257,17.0,22.0
1524.6824612286282,Sheffield Utd,2019-11-09T15:00:00Z,2019-20,#EE2737,15.0,20.0
1624.2079881271734,Leicester,2019-11-09T17:30:00Z,2019-20,#003090,9.0,12.0
1506.5365426688259,Arsenal,2019-11-09T17:30:00Z,2019-20,#EF0107,1.0,0.0
1504.7046533650541,Man Utd,2019-11-10T14:00:00Z,2019-20,#DA291C,12.0,16.0
1471.1052456853772,Brighton,2019-11-10T14:00:00Z,2019-20,#0057B8,4.0,4.0
1525.6583538615662,Wolves,2019-11-10T14:00:00Z,2019-20,#FDB913,20.0,26.0
1441.5029409515116,Aston Villa,2019-11-10T14:00:00Z,2019-20,#670E36,2.0,1.0
1696.947475355434,Liverpool,2019-11-10T16:30:00Z,2019-20,#C8102E,10.0,13.0
1582.2014253458376,Man City,2019-11-10T16:30:00Z,2019-20,#6CABDD,11.0,15.0
1412.3446831959452,West Ham,2019-11-23T12:30:00Z,2019-20,#7A263A,19.0,25.0
1495.7033308559583,Spurs,2019-11-23T12:30:00Z,2019-20,#132257,17.0,22.0
1498.5213717082186,Arsenal,2019-11-23T15:00:00Z,2019-20,#EF0107,1.0,0.0
1399.0907653671056,Southampton,2019-11-23T15:00:00Z,2019-20,#D71920,16.0,21.0
1468.3145845513016,Bournemouth,2019-11-23T15:00:00Z,2019-20,#DA291C,3.0,2.0
